CrimeKey,CrimeCode,CrimeDescription
131,106,FRAUD
132,106,HOMICIDE
133,106,IDENTITY THEFT
134,106,ILLEGAL POSSESSION
135,106,KIDNAPPING
136,106,PUBLIC INTOXICATION
137,106,ROBBERY
138,106,SEXUAL ASSAULT
139,106,SHOPLIFTING
140,106,TRAFFIC VIOLATION
141,106,VANDALISM
142,106,VEHICLE - STOLEN
143,107,ARSON
144,107,ASSAULT
145,107,BURGLARY
146,107,COUNTERFEITING
147,107,CYBERCRIME
148,107,DOMESTIC VIOLENCE
149,107,DRUG OFFENSE
150,107,EXTORTION
151,107,FIREARM OFFENSE
152,107,FRAUD
153,107,HOMICIDE
154,107,IDENTITY THEFT
155,107,ILLEGAL POSSESSION
156,107,KIDNAPPING
157,107,PUBLIC INTOXICATION
158,107,ROBBERY
159,107,SEXUAL ASSAULT
160,107,SHOPLIFTING
161,107,TRAFFIC VIOLATION
162,107,VANDALISM
163,107,VEHICLE - STOLEN
164,108,ARSON
165,108,ASSAULT
166,108,BURGLARY
167,108,COUNTERFEITING
168,108,CYBERCRIME
169,108,DOMESTIC VIOLENCE
170,108,DRUG OFFENSE
171,108,EXTORTION
172,108,FIREARM OFFENSE
173,108,FRAUD
174,108,HOMICIDE
175,108,IDENTITY THEFT
176,108,ILLEGAL POSSESSION
177,108,KIDNAPPING
178,108,PUBLIC INTOXICATION
179,108,ROBBERY
180,108,SEXUAL ASSAULT
181,108,SHOPLIFTING
182,108,TRAFFIC VIOLATION
183,108,VANDALISM
184,108,VEHICLE - STOLEN
185,109,ARSON
186,109,ASSAULT
187,109,BURGLARY
188,109,COUNTERFEITING
189,109,CYBERCRIME
190,109,DOMESTIC VIOLENCE
191,109,EXTORTION
192,109,FIREARM OFFENSE
193,109,FRAUD
194,109,HOMICIDE
195,109,IDENTITY THEFT
196,109,ILLEGAL POSSESSION
197,109,KIDNAPPING
198,109,PUBLIC INTOXICATION
199,109,ROBBERY
200,109,SEXUAL ASSAULT
201,109,SHOPLIFTING
202,109,TRAFFIC VIOLATION
203,109,VANDALISM
204,109,VEHICLE - STOLEN
205,110,ARSON
206,110,ASSAULT
207,110,BURGLARY
208,110,COUNTERFEITING
209,110,CYBERCRIME
210,110,DOMESTIC VIOLENCE
211,110,EXTORTION
212,110,FIREARM OFFENSE
213,110,FRAUD
214,110,HOMICIDE
215,110,IDENTITY THEFT
216,110,ILLEGAL POSSESSION
217,110,KIDNAPPING
218,110,PUBLIC INTOXICATION
219,110,ROBBERY
220,110,SEXUAL ASSAULT
221,110,SHOPLIFTING
222,110,TRAFFIC VIOLATION
223,110,VANDALISM
224,110,VEHICLE - STOLEN
225,111,ARSON
226,111,ASSAULT
227,111,BURGLARY
228,111,CYBERCRIME
229,111,DOMESTIC VIOLENCE
230,111,DRUG OFFENSE
231,111,EXTORTION
232,111,FIREARM OFFENSE
233,111,FRAUD
234,111,HOMICIDE
235,111,IDENTITY THEFT
236,111,ILLEGAL POSSESSION
237,111,KIDNAPPING
238,111,PUBLIC INTOXICATION
239,111,ROBBERY
240,111,SEXUAL ASSAULT
241,111,SHOPLIFTING
242,111,TRAFFIC VIOLATION
243,111,VANDALISM
244,111,VEHICLE - STOLEN
245,112,ARSON
246,112,ASSAULT
247,112,BURGLARY
248,112,COUNTERFEITING
249,112,CYBERCRIME
250,112,DOMESTIC VIOLENCE
251,112,DRUG OFFENSE
252,112,EXTORTION
253,112,FIREARM OFFENSE
254,112,FRAUD
255,112,HOMICIDE
256,112,IDENTITY THEFT
257,112,ILLEGAL POSSESSION
258,112,KIDNAPPING
259,112,PUBLIC INTOXICATION
260,112,ROBBERY
261,112,SEXUAL ASSAULT
262,112,SHOPLIFTING
263,112,TRAFFIC VIOLATION
264,112,VANDALISM
265,112,VEHICLE - STOLEN
266,113,ARSON
267,113,ASSAULT
268,113,BURGLARY
269,113,COUNTERFEITING
270,113,CYBERCRIME
271,113,DOMESTIC VIOLENCE
272,113,DRUG OFFENSE
273,113,EXTORTION
274,113,FIREARM OFFENSE
275,113,FRAUD
276,113,HOMICIDE
277,113,IDENTITY THEFT
278,113,ILLEGAL POSSESSION
279,113,KIDNAPPING
280,113,PUBLIC INTOXICATION
281,113,ROBBERY
282,113,SEXUAL ASSAULT
283,113,SHOPLIFTING
284,113,TRAFFIC VIOLATION
285,113,VANDALISM
286,113,VEHICLE - STOLEN
287,114,ARSON
288,114,ASSAULT
289,114,BURGLARY
290,114,COUNTERFEITING
291,114,CYBERCRIME
292,114,DOMESTIC VIOLENCE
293,114,DRUG OFFENSE
294,114,EXTORTION
295,114,FIREARM OFFENSE
296,114,FRAUD
297,114,HOMICIDE
298,114,IDENTITY THEFT
299,114,ILLEGAL POSSESSION
300,114,KIDNAPPING
301,114,PUBLIC INTOXICATION
302,114,ROBBERY
303,114,SEXUAL ASSAULT
304,114,SHOPLIFTING
305,114,TRAFFIC VIOLATION
306,114,VANDALISM
307,114,VEHICLE - STOLEN
308,115,ARSON
309,115,ASSAULT
310,115,BURGLARY
311,115,COUNTERFEITING
312,115,CYBERCRIME
313,115,DOMESTIC VIOLENCE
314,115,DRUG OFFENSE
315,115,EXTORTION
316,115,FIREARM OFFENSE
317,115,FRAUD
318,115,HOMICIDE
319,115,IDENTITY THEFT
320,115,ILLEGAL POSSESSION
321,115,KIDNAPPING
322,115,PUBLIC INTOXICATION
323,115,ROBBERY
324,115,SEXUAL ASSAULT
325,115,SHOPLIFTING
326,115,TRAFFIC VIOLATION
327,115,VANDALISM
328,115,VEHICLE - STOLEN
329,116,ARSON
330,116,ASSAULT
331,116,BURGLARY
332,116,COUNTERFEITING
333,116,CYBERCRIME
334,116,DOMESTIC VIOLENCE
335,116,EXTORTION
336,116,FIREARM OFFENSE
337,116,FRAUD
338,116,HOMICIDE
339,116,IDENTITY THEFT
340,116,KIDNAPPING
341,116,PUBLIC INTOXICATION
342,116,ROBBERY
343,116,SEXUAL ASSAULT
344,116,SHOPLIFTING
345,116,TRAFFIC VIOLATION
346,116,VEHICLE - STOLEN
347,117,ARSON
348,117,ASSAULT
349,117,BURGLARY
350,117,COUNTERFEITING
351,117,CYBERCRIME
352,117,DOMESTIC VIOLENCE
353,117,DRUG OFFENSE
354,117,EXTORTION
355,117,FIREARM OFFENSE
356,117,FRAUD
357,117,HOMICIDE
358,117,IDENTITY THEFT
359,117,KIDNAPPING
360,117,PUBLIC INTOXICATION
361,117,ROBBERY
362,117,SEXUAL ASSAULT
363,117,SHOPLIFTING
364,117,TRAFFIC VIOLATION
365,117,VANDALISM
366,117,VEHICLE - STOLEN
367,118,ARSON
368,118,ASSAULT
369,118,BURGLARY
370,118,COUNTERFEITING
371,118,CYBERCRIME
372,118,DOMESTIC VIOLENCE
373,118,DRUG OFFENSE
374,118,EXTORTION
375,118,FIREARM OFFENSE
376,118,FRAUD
377,118,HOMICIDE
378,118,IDENTITY THEFT
379,118,ILLEGAL POSSESSION
380,118,KIDNAPPING
381,118,PUBLIC INTOXICATION
382,118,ROBBERY
383,118,SEXUAL ASSAULT
384,118,SHOPLIFTING
385,118,TRAFFIC VIOLATION
386,118,VANDALISM
387,118,VEHICLE - STOLEN
388,119,ARSON
389,119,ASSAULT
390,119,BURGLARY
391,119,COUNTERFEITING
392,119,CYBERCRIME
393,119,DOMESTIC VIOLENCE
394,119,DRUG OFFENSE
395,119,EXTORTION
396,119,FIREARM OFFENSE
397,119,FRAUD
398,119,HOMICIDE
399,119,IDENTITY THEFT
400,119,ILLEGAL POSSESSION
401,119,KIDNAPPING
402,119,PUBLIC INTOXICATION
403,119,ROBBERY
404,119,SEXUAL ASSAULT
405,119,SHOPLIFTING
406,119,TRAFFIC VIOLATION
407,119,VANDALISM
408,119,VEHICLE - STOLEN
409,120,ARSON
410,120,ASSAULT
411,120,BURGLARY
412,120,COUNTERFEITING
413,120,CYBERCRIME
414,120,DOMESTIC VIOLENCE
415,120,DRUG OFFENSE
416,120,EXTORTION
417,120,FIREARM OFFENSE
418,120,FRAUD
419,120,HOMICIDE
420,120,IDENTITY THEFT
421,120,ILLEGAL POSSESSION
422,120,KIDNAPPING
423,120,PUBLIC INTOXICATION
424,120,ROBBERY
425,120,SEXUAL ASSAULT
426,120,SHOPLIFTING
427,120,TRAFFIC VIOLATION
428,120,VANDALISM
429,120,VEHICLE - STOLEN
430,121,ARSON
431,121,ASSAULT
432,121,BURGLARY
433,121,COUNTERFEITING
434,121,CYBERCRIME
435,121,DOMESTIC VIOLENCE
436,121,DRUG OFFENSE
437,121,EXTORTION
438,121,FIREARM OFFENSE
439,121,FRAUD
440,121,HOMICIDE
441,121,IDENTITY THEFT
442,121,ILLEGAL POSSESSION
443,121,KIDNAPPING
444,121,PUBLIC INTOXICATION
445,121,ROBBERY
446,121,SEXUAL ASSAULT
447,121,SHOPLIFTING
448,121,TRAFFIC VIOLATION
449,121,VANDALISM
450,121,VEHICLE - STOLEN
451,122,ARSON
452,122,ASSAULT
453,122,BURGLARY
454,122,COUNTERFEITING
455,122,CYBERCRIME
456,122,DOMESTIC VIOLENCE
457,122,DRUG OFFENSE
458,122,EXTORTION
459,122,FIREARM OFFENSE
460,122,HOMICIDE
461,122,IDENTITY THEFT
462,122,ILLEGAL POSSESSION
463,122,KIDNAPPING
464,122,PUBLIC INTOXICATION
465,122,ROBBERY
466,122,SEXUAL ASSAULT
467,122,SHOPLIFTING
468,122,TRAFFIC VIOLATION
469,122,VEHICLE - STOLEN
470,123,ARSON
471,123,ASSAULT
472,123,BURGLARY
473,123,COUNTERFEITING
474,123,CYBERCRIME
475,123,DOMESTIC VIOLENCE
476,123,DRUG OFFENSE
477,123,EXTORTION
478,123,FIREARM OFFENSE
479,123,FRAUD
480,123,HOMICIDE
481,123,IDENTITY THEFT
482,123,ILLEGAL POSSESSION
483,123,KIDNAPPING
484,123,PUBLIC INTOXICATION
485,123,ROBBERY
486,123,SEXUAL ASSAULT
487,123,SHOPLIFTING
488,123,TRAFFIC VIOLATION
489,123,VANDALISM
490,123,VEHICLE - STOLEN
491,124,ARSON
492,124,ASSAULT
493,124,BURGLARY
494,124,COUNTERFEITING
495,124,CYBERCRIME
496,124,DOMESTIC VIOLENCE
497,124,DRUG OFFENSE
498,124,EXTORTION
499,124,FIREARM OFFENSE
500,124,FRAUD
501,124,HOMICIDE
502,124,IDENTITY THEFT
503,124,ILLEGAL POSSESSION
504,124,KIDNAPPING
505,124,PUBLIC INTOXICATION
506,124,ROBBERY
507,124,SEXUAL ASSAULT
508,124,SHOPLIFTING
509,124,TRAFFIC VIOLATION
510,124,VANDALISM
511,124,VEHICLE - STOLEN
512,125,ARSON
513,125,ASSAULT
514,125,BURGLARY
515,125,COUNTERFEITING
516,125,CYBERCRIME
517,125,DOMESTIC VIOLENCE
518,125,DRUG OFFENSE
519,125,EXTORTION
520,125,FIREARM OFFENSE
521,125,FRAUD
522,125,HOMICIDE
523,125,IDENTITY THEFT
524,125,ILLEGAL POSSESSION
525,125,KIDNAPPING
526,125,PUBLIC INTOXICATION
527,125,ROBBERY
528,125,SEXUAL ASSAULT
529,125,SHOPLIFTING
530,125,TRAFFIC VIOLATION
531,125,VANDALISM
532,125,VEHICLE - STOLEN
533,126,ARSON
534,126,ASSAULT
535,126,BURGLARY
536,126,COUNTERFEITING
537,126,CYBERCRIME
538,126,DOMESTIC VIOLENCE
539,126,DRUG OFFENSE
540,126,EXTORTION
541,126,FIREARM OFFENSE
542,126,FRAUD
543,126,HOMICIDE
544,126,IDENTITY THEFT
545,126,ILLEGAL POSSESSION
546,126,KIDNAPPING
547,126,PUBLIC INTOXICATION
548,126,ROBBERY
549,126,SEXUAL ASSAULT
550,126,SHOPLIFTING
551,126,TRAFFIC VIOLATION
552,126,VANDALISM
553,126,VEHICLE - STOLEN
554,127,ARSON
555,127,ASSAULT
556,127,BURGLARY
557,127,COUNTERFEITING
558,127,CYBERCRIME
559,127,DOMESTIC VIOLENCE
560,127,DRUG OFFENSE
561,127,EXTORTION
562,127,FIREARM OFFENSE
563,127,FRAUD
564,127,HOMICIDE
565,127,IDENTITY THEFT
566,127,KIDNAPPING
567,127,PUBLIC INTOXICATION
568,127,ROBBERY
569,127,SEXUAL ASSAULT
570,127,SHOPLIFTING
571,127,TRAFFIC VIOLATION
572,127,VANDALISM
573,127,VEHICLE - STOLEN
574,128,ARSON
575,128,ASSAULT
576,128,BURGLARY
577,128,COUNTERFEITING
578,128,CYBERCRIME
579,128,DOMESTIC VIOLENCE
580,128,DRUG OFFENSE
581,128,EXTORTION
582,128,FIREARM OFFENSE
583,128,FRAUD
584,128,HOMICIDE
585,128,IDENTITY THEFT
586,128,ILLEGAL POSSESSION
587,128,KIDNAPPING
588,128,PUBLIC INTOXICATION
589,128,ROBBERY
590,128,SEXUAL ASSAULT
591,128,TRAFFIC VIOLATION
592,128,VANDALISM
593,128,VEHICLE - STOLEN
594,129,ARSON
595,129,ASSAULT
596,129,BURGLARY
597,129,COUNTERFEITING
598,129,CYBERCRIME
599,129,DOMESTIC VIOLENCE
600,129,DRUG OFFENSE
601,129,EXTORTION
602,129,FIREARM OFFENSE
603,129,FRAUD
604,129,HOMICIDE
605,129,IDENTITY THEFT
606,129,KIDNAPPING
607,129,PUBLIC INTOXICATION
608,129,ROBBERY
609,129,SEXUAL ASSAULT
610,129,SHOPLIFTING
611,129,TRAFFIC VIOLATION
612,129,VANDALISM
613,129,VEHICLE - STOLEN
614,130,ARSON
615,130,ASSAULT
616,130,BURGLARY
617,130,COUNTERFEITING
618,130,CYBERCRIME
619,130,DOMESTIC VIOLENCE
620,130,DRUG OFFENSE
621,130,EXTORTION
622,130,FIREARM OFFENSE
623,130,FRAUD
624,130,HOMICIDE
625,130,IDENTITY THEFT
626,130,ILLEGAL POSSESSION
627,130,KIDNAPPING
628,130,PUBLIC INTOXICATION
629,130,ROBBERY
630,130,SEXUAL ASSAULT
631,130,SHOPLIFTING
632,130,TRAFFIC VIOLATION
633,130,VANDALISM
634,130,VEHICLE - STOLEN
635,131,ARSON
636,131,ASSAULT
637,131,COUNTERFEITING
638,131,CYBERCRIME
639,131,DOMESTIC VIOLENCE
640,131,DRUG OFFENSE
641,131,EXTORTION
642,131,FIREARM OFFENSE
643,131,FRAUD
644,131,HOMICIDE
645,131,IDENTITY THEFT
646,131,ILLEGAL POSSESSION
647,131,KIDNAPPING
648,131,PUBLIC INTOXICATION
649,131,ROBBERY
650,131,SEXUAL ASSAULT
651,131,SHOPLIFTING
652,131,TRAFFIC VIOLATION
653,131,VANDALISM
654,131,VEHICLE - STOLEN
655,132,ARSON
656,132,ASSAULT
657,132,BURGLARY
658,132,COUNTERFEITING
659,132,CYBERCRIME
660,132,DOMESTIC VIOLENCE
661,132,DRUG OFFENSE
662,132,EXTORTION
663,132,FIREARM OFFENSE
664,132,FRAUD
665,132,HOMICIDE
666,132,IDENTITY THEFT
667,132,ILLEGAL POSSESSION
668,132,KIDNAPPING
669,132,PUBLIC INTOXICATION
670,132,ROBBERY
671,132,SEXUAL ASSAULT
672,132,SHOPLIFTING
673,132,TRAFFIC VIOLATION
674,132,VANDALISM
675,132,VEHICLE - STOLEN
676,133,ARSON
677,133,ASSAULT
678,133,BURGLARY
679,133,COUNTERFEITING
680,133,CYBERCRIME
681,133,DOMESTIC VIOLENCE
682,133,DRUG OFFENSE
683,133,EXTORTION
684,133,FIREARM OFFENSE
685,133,FRAUD
686,133,HOMICIDE
687,133,IDENTITY THEFT
688,133,ILLEGAL POSSESSION
689,133,KIDNAPPING
690,133,PUBLIC INTOXICATION
691,133,ROBBERY
692,133,SEXUAL ASSAULT
693,133,SHOPLIFTING
694,133,TRAFFIC VIOLATION
695,133,VANDALISM
696,133,VEHICLE - STOLEN
697,134,ARSON
698,134,ASSAULT
699,134,BURGLARY
700,134,COUNTERFEITING
701,134,CYBERCRIME
702,134,DOMESTIC VIOLENCE
703,134,DRUG OFFENSE
704,134,EXTORTION
705,134,FIREARM OFFENSE
706,134,FRAUD
707,134,HOMICIDE
708,134,IDENTITY THEFT
709,134,ILLEGAL POSSESSION
710,134,KIDNAPPING
711,134,PUBLIC INTOXICATION
712,134,ROBBERY
713,134,SEXUAL ASSAULT
714,134,SHOPLIFTING
715,134,TRAFFIC VIOLATION
716,134,VANDALISM
717,134,VEHICLE - STOLEN
718,135,ARSON
719,135,ASSAULT
720,135,BURGLARY
721,135,COUNTERFEITING
722,135,CYBERCRIME
723,135,DOMESTIC VIOLENCE
724,135,DRUG OFFENSE
725,135,EXTORTION
726,135,FIREARM OFFENSE
727,135,FRAUD
728,135,HOMICIDE
729,135,IDENTITY THEFT
730,135,ILLEGAL POSSESSION
731,135,KIDNAPPING
732,135,PUBLIC INTOXICATION
733,135,ROBBERY
734,135,SEXUAL ASSAULT
735,135,SHOPLIFTING
736,135,TRAFFIC VIOLATION
737,135,VANDALISM
738,135,VEHICLE - STOLEN
739,136,ARSON
740,136,ASSAULT
741,136,BURGLARY
742,136,COUNTERFEITING
743,136,CYBERCRIME
744,136,DOMESTIC VIOLENCE
745,136,DRUG OFFENSE
746,136,EXTORTION
747,136,FIREARM OFFENSE
748,136,FRAUD
749,136,HOMICIDE
750,136,IDENTITY THEFT
751,136,ILLEGAL POSSESSION
752,136,KIDNAPPING
753,136,PUBLIC INTOXICATION
754,136,ROBBERY
755,136,SEXUAL ASSAULT
756,136,SHOPLIFTING
757,136,TRAFFIC VIOLATION
758,136,VANDALISM
759,136,VEHICLE - STOLEN
760,137,ARSON
761,137,ASSAULT
762,137,BURGLARY
763,137,COUNTERFEITING
764,137,CYBERCRIME
765,137,DOMESTIC VIOLENCE
766,137,DRUG OFFENSE
767,137,EXTORTION
768,137,FIREARM OFFENSE
769,137,FRAUD
770,137,HOMICIDE
771,137,IDENTITY THEFT
772,137,ILLEGAL POSSESSION
773,137,KIDNAPPING
774,137,PUBLIC INTOXICATION
775,137,ROBBERY
776,137,SEXUAL ASSAULT
777,137,SHOPLIFTING
778,137,TRAFFIC VIOLATION
779,137,VANDALISM
780,137,VEHICLE - STOLEN
781,138,ARSON
782,138,ASSAULT
783,138,BURGLARY
784,138,COUNTERFEITING
785,138,CYBERCRIME
786,138,DOMESTIC VIOLENCE
787,138,DRUG OFFENSE
788,138,EXTORTION
789,138,FIREARM OFFENSE
790,138,FRAUD
791,138,HOMICIDE
792,138,IDENTITY THEFT
793,138,ILLEGAL POSSESSION
794,138,KIDNAPPING
795,138,PUBLIC INTOXICATION
796,138,ROBBERY
797,138,SEXUAL ASSAULT
798,138,SHOPLIFTING
799,138,TRAFFIC VIOLATION
800,138,VANDALISM
801,138,VEHICLE - STOLEN
802,139,ARSON
803,139,ASSAULT
804,139,BURGLARY
805,139,COUNTERFEITING
806,139,CYBERCRIME
807,139,DOMESTIC VIOLENCE
808,139,DRUG OFFENSE
809,139,EXTORTION
810,139,FIREARM OFFENSE
811,139,FRAUD
812,139,HOMICIDE
813,139,IDENTITY THEFT
814,139,ILLEGAL POSSESSION
815,139,KIDNAPPING
816,139,PUBLIC INTOXICATION
817,139,ROBBERY
818,139,SEXUAL ASSAULT
819,139,SHOPLIFTING
820,139,TRAFFIC VIOLATION
821,139,VANDALISM
822,139,VEHICLE - STOLEN
823,140,ARSON
824,140,ASSAULT
825,140,BURGLARY
826,140,COUNTERFEITING
827,140,CYBERCRIME
828,140,DOMESTIC VIOLENCE
829,140,DRUG OFFENSE
830,140,EXTORTION
831,140,FIREARM OFFENSE
832,140,FRAUD
833,140,HOMICIDE
834,140,IDENTITY THEFT
835,140,ILLEGAL POSSESSION
836,140,KIDNAPPING
837,140,PUBLIC INTOXICATION
838,140,ROBBERY
839,140,SEXUAL ASSAULT
840,140,SHOPLIFTING
841,140,TRAFFIC VIOLATION
842,140,VANDALISM
843,140,VEHICLE - STOLEN
844,141,ARSON
845,141,ASSAULT
846,141,BURGLARY
847,141,COUNTERFEITING
848,141,CYBERCRIME
849,141,DOMESTIC VIOLENCE
850,141,DRUG OFFENSE
851,141,EXTORTION
852,141,FIREARM OFFENSE
853,141,FRAUD
854,141,HOMICIDE
855,141,IDENTITY THEFT
856,141,ILLEGAL POSSESSION
857,141,KIDNAPPING
858,141,PUBLIC INTOXICATION
859,141,ROBBERY
860,141,SEXUAL ASSAULT
861,141,SHOPLIFTING
862,141,TRAFFIC VIOLATION
863,141,VANDALISM
864,141,VEHICLE - STOLEN
865,142,ARSON
866,142,ASSAULT
867,142,BURGLARY
868,142,COUNTERFEITING
869,142,CYBERCRIME
870,142,DOMESTIC VIOLENCE
871,142,DRUG OFFENSE
872,142,EXTORTION
873,142,FIREARM OFFENSE
874,142,FRAUD
875,142,HOMICIDE
876,142,IDENTITY THEFT
877,142,ILLEGAL POSSESSION
878,142,KIDNAPPING
879,142,PUBLIC INTOXICATION
880,142,ROBBERY
881,142,SEXUAL ASSAULT
882,142,SHOPLIFTING
883,142,TRAFFIC VIOLATION
884,142,VANDALISM
885,142,VEHICLE - STOLEN
886,143,ARSON
887,143,ASSAULT
888,143,BURGLARY
889,143,COUNTERFEITING
890,143,CYBERCRIME
891,143,DRUG OFFENSE
892,143,EXTORTION
893,143,FIREARM OFFENSE
894,143,FRAUD
895,143,HOMICIDE
896,143,IDENTITY THEFT
897,143,ILLEGAL POSSESSION
898,143,KIDNAPPING
899,143,PUBLIC INTOXICATION
900,143,ROBBERY
901,143,SEXUAL ASSAULT
902,143,SHOPLIFTING
903,143,TRAFFIC VIOLATION
904,143,VANDALISM
905,143,VEHICLE - STOLEN
906,144,ARSON
907,144,ASSAULT
908,144,BURGLARY
909,144,COUNTERFEITING
910,144,CYBERCRIME
911,144,DOMESTIC VIOLENCE
912,144,DRUG OFFENSE
913,144,EXTORTION
914,144,FIREARM OFFENSE
915,144,FRAUD
916,144,HOMICIDE
917,144,IDENTITY THEFT
918,144,ILLEGAL POSSESSION
919,144,KIDNAPPING
920,144,PUBLIC INTOXICATION
921,144,ROBBERY
922,144,SEXUAL ASSAULT
923,144,SHOPLIFTING
924,144,TRAFFIC VIOLATION
925,144,VANDALISM
926,144,VEHICLE - STOLEN
927,145,ARSON
928,145,ASSAULT
929,145,BURGLARY
930,145,COUNTERFEITING
931,145,CYBERCRIME
932,145,DRUG OFFENSE
933,145,EXTORTION
934,145,FIREARM OFFENSE
935,145,FRAUD
936,145,HOMICIDE
937,145,IDENTITY THEFT
938,145,ILLEGAL POSSESSION
939,145,KIDNAPPING
940,145,PUBLIC INTOXICATION
941,145,ROBBERY
942,145,SEXUAL ASSAULT
943,145,SHOPLIFTING
944,145,TRAFFIC VIOLATION
945,145,VANDALISM
946,145,VEHICLE - STOLEN
947,146,ARSON
948,146,ASSAULT
949,146,BURGLARY
950,146,COUNTERFEITING
951,146,CYBERCRIME
952,146,DOMESTIC VIOLENCE
953,146,DRUG OFFENSE
954,146,EXTORTION
955,146,FIREARM OFFENSE
956,146,FRAUD
957,146,HOMICIDE
958,146,IDENTITY THEFT
959,146,ILLEGAL POSSESSION
960,146,KIDNAPPING
961,146,PUBLIC INTOXICATION
962,146,ROBBERY
963,146,SEXUAL ASSAULT
964,146,SHOPLIFTING
965,146,TRAFFIC VIOLATION
966,146,VANDALISM
967,146,VEHICLE - STOLEN
968,147,ARSON
969,147,ASSAULT
970,147,BURGLARY
971,147,COUNTERFEITING
972,147,CYBERCRIME
973,147,DOMESTIC VIOLENCE
974,147,DRUG OFFENSE
975,147,EXTORTION
976,147,FIREARM OFFENSE
977,147,FRAUD
978,147,HOMICIDE
979,147,IDENTITY THEFT
980,147,ILLEGAL POSSESSION
981,147,KIDNAPPING
982,147,PUBLIC INTOXICATION
983,147,ROBBERY
984,147,SEXUAL ASSAULT
985,147,SHOPLIFTING
986,147,TRAFFIC VIOLATION
987,147,VANDALISM
988,147,VEHICLE - STOLEN
989,148,ARSON
990,148,ASSAULT
991,148,BURGLARY
992,148,COUNTERFEITING
993,148,CYBERCRIME
994,148,DOMESTIC VIOLENCE
995,148,DRUG OFFENSE
996,148,EXTORTION
997,148,FIREARM OFFENSE
998,148,FRAUD
999,148,HOMICIDE
1000,148,IDENTITY THEFT
1001,148,ILLEGAL POSSESSION
1002,148,KIDNAPPING
